Title,Published_date,Views,Likes,Categories,Comments,Category_id,Source,Title_id
Trump instructs attorney general to report what he calls 'frivolous' lawsuits,2025-03-22,102967,659,News & Politics,740,25,YoutubeAPI,1070
Officials release bodycam footage in Gene Hackman death,2025-03-22,179058,908,News & Politics,221,25,YoutubeAPI,1071
Wildfire dangers across the central and southeast US,2025-03-22,5304,51,News & Politics,46,25,YoutubeAPI,1072
"Pope Francis to be discharged from hospital on Sunday, Vatican says",2025-03-22,22858,205,News & Politics,134,25,YoutubeAPI,1073
"LIVE: ABC News Live — Saturday, March 22",2025-03-22,54336,337,News & Politics,0,25,YoutubeAPI,1074
Fighting in Gaza continues as Muslims observe Ramadan,2025-03-22,3672,41,News & Politics,45,25,YoutubeAPI,1075
Eagle released into wild after rehabilitation,2025-03-22,3843,200,News & Politics,6,25,YoutubeAPI,1076
Is a recession looming?,2025-03-22,15109,148,News & Politics,147,25,YoutubeAPI,1077
"ABC News Live Prime Full Episode: Friday, March 21, 2025",2025-03-22,41115,251,News & Politics,20,25,YoutubeAPI,1078
Columbia University appears to cede to Trump’s demands,2025-03-22,169705,1294,News & Politics,1002,25,YoutubeAPI,1079
"Good Morning America Full Broadcast — Saturday, March 22, 2025",2025-03-22,60039,486,News & Politics,59,25,YoutubeAPI,1080
ESPN analyst and WNBA star breaks down 2025 NCAA women’s bracket,2025-03-22,858,13,News & Politics,16,25,YoutubeAPI,1081
Nationwide measles cases now surpassing the number for all of last year,2025-03-22,4715,65,News & Politics,166,25,YoutubeAPI,1082
March Madness mania,2025-03-22,891,14,News & Politics,2,25,YoutubeAPI,1083
Remembering George Foreman,2025-03-22,49134,887,News & Politics,181,25,YoutubeAPI,1084
Tense legal standoff over controversial El Salvador deportations,2025-03-22,73368,542,News & Politics,1366,25,YoutubeAPI,1085
Flights resume at London's Heathrow Airport after massive fire,2025-03-22,7368,55,News & Politics,2,25,YoutubeAPI,1086
"Sherri Papini, woman who faked kidnapping, faces ex-husband in court",2025-03-22,212246,2262,News & Politics,1105,25,YoutubeAPI,1087
"Nightline Full Broadcast — Friday, March 21, 2025",2025-03-22,3525,72,News & Politics,2,25,YoutubeAPI,1088
The Crime Scene: Tupac Murder Suspect Speaks Out,2025-03-22,1475,28,News & Politics,4,25,YoutubeAPI,1089
Twin panda cubs have their first outdoor adventure,2025-03-22,5753,460,News & Politics,12,25,YoutubeAPI,1090
Texas minister finds wife dead at home | 20/20 ‘Dirty Little Secret’ Part 1,2025-03-22,16445,396,News & Politics,24,25,YoutubeAPI,1091
"LIVE: ABC News Live - Friday, March 21",2025-03-22,79123,346,News & Politics,0,25,YoutubeAPI,1092
"Family of 3 missing following Grand Canyon trip, Arizona winter storm",2025-03-22,11641,75,News & Politics,32,25,YoutubeAPI,1093
